time	pos	sp	vel	state
0.024107	0.0	0.0	0.0	ODriveAxisState.IDLE
0.054547	-0.00017601251602172852	0.0	0.00014174554962664843	ODriveAxisState.IDLE
0.089267	-0.00017601251602172852	0.0	0.00014174554962664843	ODriveAxisState.IDLE
0.118357	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.120979	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.133224	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.161232	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.1906	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.220211	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.245806	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.288398	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.330347	-0.00017601251602172852	0.0	0.00014174554962664843	1
0.333671	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.358471	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.383938	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.420825	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.462753	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.468924	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.509906	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.514286	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.527306	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.543932	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.557799	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.577597	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.603524	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.623406	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.657099	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.670901	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.685386	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.704665	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.734372	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.750082	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.752608	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.783162	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.792774	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.810722	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.828638	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.846682	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.849533	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.868498	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.903531	-0.00017601251602172852	0.0	0.00014174508396536112	1
0.911451	-0.00017583370208740234	0.0	0.0009166050003841519	1
0.930637	-0.00017601251602172852	0.0	0.00020134926307946444	1
0.949393	-0.00017601251602172852	0.0	0.00020134926307946444	1
0.951843	-0.00017601251602172852	0.0	0.00020134926307946444	1
0.970932	-0.00017601251602172852	0.0	0.00020134926307946444	1
1.001757	-0.00017601251602172852	0.0	0.00020134926307946444	1
1.013113	-0.00017601251602172852	0.0	0.00020134926307946444	1
1.029458	-0.00017601251602172852	0.0	0.00020134926307946444	1
1.048171	-0.00017601251602172852	0.0	0.00020134926307946444	1
1.050748	-0.00017601251602172852	0.0	0.00020134926307946444	1
1.069383	-0.00017601251602172852	0.0	0.00020134926307946444	1
1.095308	-0.0001856088638305664	0.0	-0.026233315467834473	1
1.115137	0.00013959407806396484	0.0	0.03761071711778641	1
1.12232	0.00013959407806396484	0.0	0.03761071711778641	1
1.142369	0.00013959407806396484	0.0	0.03761071711778641	8
1.144994	-2.4199485778808594e-05	0.0	-0.01771729625761509	8
1.162834	8.249282836914062e-05	0.0	-0.010259265080094337	8
1.182956	-1.8477439880371094e-06	0.0	-0.029682930558919907	8
1.216813	-0.00010889768600463867	0.0	0.023104431107640266	8
1.232488	-0.00010889768600463867	0.0	0.023104431107640266	8
1.248707	-0.00010889768600463867	0.0	0.023104431107640266	8
1.251326	-0.0001341104507446289	0.0	0.03293919935822487	8
1.279294	-0.0001887679100036621	0.0	-0.02250802330672741	8
1.307604	-0.00017118453979492188	0.0	0.03241020813584328	8
1.343786	-0.00017118453979492188	0.0	0.03241020813584328	8
1.346354	-0.00024199485778808594	0.0	-0.008739352226257324	8
1.361435	-0.00035303831100463867	0.0	-0.05156528949737549	8
1.390365	-0.00035303831100463867	0.0	-0.05156528949737549	8
1.393005	-0.00013649463653564453	0.0	0.02691911906003952	8
1.411591	-0.00012254714965820312	0.0	0.03051774576306343	8
1.431447	-0.0002918243408203125	0.0	-0.015251174569129944	8
1.451511	-0.0002918243408203125	0.0	-0.015251174569129944	8
1.45755	-0.0002257227897644043	0.0	0.03638135641813278	8
1.482564	-0.0002257227897644043	0.0	0.03638135641813278	1
1.486739	-0.0002518892288208008	0.0	-0.007442964240908623	1
1.559388	-0.0002518892288208008	0.0	-0.007442964240908623	1
1.563498	-0.0002518892288208008	0.0	-0.007442964240908623	1
1.590911	-0.0002988576889038086	0.0	-0.0028534007724374533	1
1.609795	-0.000296175479888916	0.0	-0.0020785408560186625	1
1.629825	-0.0002918243408203125	0.0	-0.0010652594501152635	1
1.644605	-0.0002982616424560547	0.0	-0.003397291759029031	1
1.667585	-0.0002982616424560547	0.0	-0.003397291759029031	1
1.67039	-0.0002903938293457031	0.0	-0.0007076318142935634	1
1.702609	-0.00028401613235473633	0.0	0.0054316469468176365	1
1.721002	-0.00029855966567993164	0.0	-0.003158872714266181	1
